sentiment,content
fun,bready for a very busy FUN day tomorrow gotta keep myself busy when my lover is gone
worry,b heyyyyyyyy no love for me no more 
surprise,bWhat
enthusiasm,bI really want a camera
sadness,b  id give anything to be there too bad im in tennessee
worry,bi seriously neeed to study
sadness,bthis hot day is making me tired
hate,bSeems like everyone I know is asking for computer help   kill me now
worry,bfuneral at   today is going to be bad
neutral,bIs at work
neutral,btikcets are only eachBUT I SO WANT TO GO
neutral,b They know no bounds
surprise,bdoes not know hot twitter works
love,b hey im a fan form Puerto Rico  canwait for your next CD  xoxoxoxo Come back on tour here please  
enthusiasm,bGoing to the Chiro to see what is wrong with my bum ankle
hate,bWhen r these DAMN exams ever gone b over and done with  i wanna b out in the sun
neutral,b Rude
relief,bOmfglmaolassetti was right those bangs did look bad  lmao
sadness,b Still jealous
sadness,b Its NOT good   of our directors said we could go home and the other said back to work  boo It was good while it lasted
relief,bPas si terrific que a ce twitterrific
sadness,bMy stomach hurts so bad
sadness,bI dont wanna get out of bed i wanna go back to sleep i have to open the store at work though
sadness,b stop that babe u makin me feel very bad now 
worry,bon my way to school of my last friday of high school ever  and i dont even get to see holly Gabbie and hannah
love,b HAHAHA Im going to be so disappointed that I miss this   But if you go HAVE FUN
worry,bIts tough being a thick chik
worry,bi suppose i best get ready for work  grrr
sadness,bSick kid trumps advance planning  Bummer
enthusiasm,b ButbutIm not
hate,bunemployment office sucks
worry,bSo disappointed about the talent lineup for quotReventn Super Estrella quothmmHave the feeling I wont get tix this time around
sadness,b  so I cant charge you by the hour then
worry,b Wont really get a break till custody issue is settled and Ive moved another month or so at least
worry,b My friend Cliff has the tix so I have to wait on him   Or you can ask trent to just let me in  You  know over all else gtgt
neutral,bIts hella itchy  
love,bweekend along with the summer is here so why do I feel sad
worry,b whats wrong
worry,bMy hair looks really bad  First thing Im doing is washing it when I get home
sadness,b nothing  lets stay quiet together ps did you cry
sadness,bSo effing tired  
worry,bits sad that the rats are becoming aggressive against the guinea pigs I have to seperate them
neutral,b RE Hulu Desktop in Windows  Media Center   not on extenders unfortunately
neutral,bIf I were a transformer Id step on people just to hear them squoosh But Im not so I guess Ill just have a cup of coffee instead
love,b Alrightyou missed one crazy party last night
worry,bMy knee fucking hurts man  Haylee doesnt even care GET ME MORE MILKSHAKESHAKESHAKESHAKE IT
sadness,bOnly four hours and fifteen minutes until three day packing spree Ugh work
sadness,b you make me sad Why do I like in canada I can never watch these things I should move Know anyone who needs a roommate
worry,bgot  for exam  percentage doesnt look good
hate,bCan I get some gd news for gods sake
hate,bI am doing Geography Revision on Earthquakes  How Boring
worry,bive made a terrible mistake   i need an auto save function for everything i do 
worry,bStill unbelievably shocked about the firing of THE best radio personality Martin Streek
sadness,b well thats no way to start the day off 
hate,bWhat a burden Abit of a fail lunch with Dan
sadness,bJus back after watching Night at a Museum would rate it  on 
worry,bno please
love,bReally fucking loved him
worry,bAt work I dont like today its nasty outside  cant wait to get home today and clean my house
worry,b hmmyour blog wont let me post a comment
worry,b shit i got a shit of hw to do nite
hate,bRight fuck the whole Twitter silence experiment The last four days have been murder with the inability to mouth off
love,b alms ur tweets r all delicious Haha Since its about foodddd Anyway gatau nih aku mau pindah dr binus
neutral,b do you know of any inside scoop on a station thats anything what kwod was theres nothing for us now
neutral,bin communications class
sadness,bDidnt bring connector for camera on tripsaving new photos will have to wait another week
worry,bhair grow back
fun,bTravel trade stalwart David Steele of City Cruises marks his retirement with a Thames Cruise Party tonight  press day means I miss out
neutral,bjust been playin out i am all itchy now  it was fun
neutral,barriving at itexa Lots of mails to read and some work to do  thanks god weekend is just here
worry,b thats a bad start to the day
worry,b i would be looking forward to seeing you tonight if i was going
worry,bFreaking out a bitcrossing my fingers that things will work out ok
sadness,bIts so sad
neutral,b excuse me theres me  jkidding lolso how long b yr fun night out starts lol
worry,bI miss my boys
worry,b that is so sad wish I can do something big for the kids may God Bless the kids always
neutral,b I give it  snaps down  hows work going
worry,b Im depressed  I want to know you and kiss you all
worry,b  I think Im gonna fail aswel
worry,b butbutbut it has a qwerty keyboard how can something with a qwerty keyboard go without a nethack port
sadness,b we watched the today show we didnt see you though
happiness,b at least you have a next year  into the big wide world for me
neutral,bshuuut up  stupid
surprise,b Ooosounds great hope the weather does stay nice  re hot water bottle was just thinking how BAD it would be to leak
sadness,bHave spent half of the day troubleshooting something that wasnt even within my control Clusters doesnt always mean high availability
worry,b ooooo sooooo wanna swap my day is well boring revising for looming uni exams
worry,bI really really want a golden retriever Too bad I wont be living in a home where she could run around for about  years
worry,bI think im broke again  
fun,bjob hunting yay
sadness,bI have a headache And I have nobody to keep me company   _wantstobeakiddagainlt
neutral,b Twitpic wont show me the picture
sadness,bI think I may cry I just sold my  civic Its no longer mine
sadness,bI hate when you cant sleep
sadness,b  Sadly not no Theyre his colleagues and its a work party
worry,bI miss my water cuz my well went dry
worry,b  Im starting to feel depressed with this hurricane talk Im on the front lines down here
worry,bHave to walk to school and i have two welts on my thighs
neutral,bI wish I could go to BEA this weekend
worry,bHead is pounding  Well not really pounding more like tapping I suppose  Homework time
worry,bIts beautiful outside The sun is shining the birds are singing and I Im studying  Wish it were already vacation
sadness,b I wish I was thereIve just moved from San Diego to WA and Im very depressed I miss sunny San Diegoooooooo
worry,bmet the shortest line ever at FCB Tunapuna then the tellers disappeared
worry,bDang I just realized how bad my eyes have gotten
worry,burgh theres a power cut
worry,b i spent the whole day shopping with Aiza  i dont really like shopping  still i had fun but my feet didnt
neutral,b Its becoming a very tough race Linda is indeed very talented But someone has to go every week  We cut two this week
worry,b I keep trying to invite  out but I think shes afraid of me
worry,bsitting in the parking lotby myself  i miss you baby couple min til i gotta deal with a bitch then im peacin out and hitting the gym
sadness,bjust got off work working night shift at the hospital  hrs a day is starting to get to me
surprise,bwhy did lastfm wanted money from me to listen to my radios
neutral,bi want a dog
worry,bNightmares last night so bad I slept curled tightly in a ball Sore all over Took three aspirin Still hurts
sadness,bis really wishing you would just let me go and let me fight this on my ownim tired of feeling like shit because of you
worry,bthe liesgirlstell and liesboystell threads show how women and men alike are screwed up and struggle to have real honest relationships
neutral,b o que houve
worry,b IronPython  Windows Mobile is a nogo Compact Framework doesnt support ReflectionEmit
sadness,bdidnt do my devos  hopefully my day doesnt suck because of it
neutral,b   Delayscancellations really bite Have had my fair share and can sympathize Hang tough
sadness,bHavnt gotten any in months  my ex seems into dating but there isnt that spark anymore  still in love with loser who left me
worry,bflylady Oh deary me  mins not enough to rescue kitchen  I shall come back to it later so I can mow the lawn while still cool outside
happiness,b deh i wish the deal was up when i bought my macbook in december  but at least i got  bucks off 
neutral,bGen Casey US Ready To Fight War Against North Korea   uhoh the war pigs are getting excited again
love,bwatchin a moovieand im sited about going  ma friend Saras tomorrow at  am She was injured   I luv yall i will keep u updated
sadness,b Is the Bee to Busy to talk to his buddy on Yahoo
worry,b man I dont know they been there a few months and he actually almost cries when he is speakin back to her Sad
happiness,bBack home  Had a great time
hate,bTHE SUN IS SHININGlt THE SKY IS FACKING BLUElt TELETUBBIES I HAVE TO FUCKING WORK
neutral,b I havent got ANY cupcakes yet  I was hoping if I said it enough some would appear
neutral,b  I am middetox I wont eat any
neutral,bback to br
sadness,bhas work to go to
neutral,b I need carseats
happiness,bHavin a much better day today Finished the last Twilight book yesterday Classes start next week      Get at me yall
neutral,bMore homework
sadness,bGetting into the swing of things I miss someone
hate,b U so dirrrrrty Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR
sadness,bUghh none of my apps are working   phone why do you hate me 
worry,b Yeah plus I always totally overspend
love,bcontemplating borrowing one of my moms dogs just for todayi want to take care of someone
worry,bit doesnt feel like a friday
sadness,bWork
worry,bOn my way to work wish I had more days off
happiness,bHopped up out the bed put my s oooonnnn Then got back in the bed its raining
worry,bThinks that my friends lifes go around with what they boyfriends do and then they have not time for us girls
sadness,b sigh me miss them days 
worry,b Ill be in Heerlen on Sunday but you wont be there right
sadness,bNew issue of  in the officedesperately want to flick through but have so much to do Itll have to wait
happiness,bi got a freakin macbook hoorayyy but i freakin deleted phootbooth
neutral,bStrike one    Three and Im out
worry,bBack to Tokyo tomorrow Expecting some rain and no sunshine
worry,b NOOOO Im so sorry
sadness,b actually I wish I was back in Tahoe  I miss it there
sadness,bmcdonalds mccafe tastes like chewin on a cigarette butt  I miss my sonic card
sadness,b doesnt work already
sadness,b i am so upset i didnt get tickets  of my all time FAV artists at one venue
worry,b RyanSeacrest  hi there might be a problem as it says no stream online wats not right
neutral,bthinkin twitter is really quite borin
hate,bsuper late for work and got an earful from the PSYCHOPATH GRRRR Day please get better
hate,b Im a minute in and I want to strangle the used car salesman doing the presentation Is he related to the ShamWOW guy
neutral,bIt looks like it might rain
neutral,b  i didnt get it although as its a religious thing i think ill let that one slip by
worry,bI miss them
boredom,bin math class waiting for lunchhhhhhhh seniors are done in fifteen minutes
sadness,bis upset I left my phone at home again
neutral,bWELL one is a muscle relaxant and the other is an narcotic If your still not getting help i dunno what to say  moist heat
fun,b dammmi thought i was on to something  lollllll
worry,b Im glad you threw the tantrum  I was going to but I dont know her well enough yet   Was she apologetic darn her
hate,brt   ughhhh got fuckin pulled over for talkin on my cell in a school zone  FUCK HIGHLAND PARK POLICE rude mofo
worry,b So sadfound otu about your boot camp too late   Oh well may be in LA that day anyway
neutral,bPissed I  fell asleep before I pushed record and missed 
sadness,b  the expensive of their workers welfare  other than that they are the shit 
worry,b The Northern Clemency  But I dont recommend it  Too much description and not enough action Too slow
love,b this is the end of the semester so i am really busy have got no time for twitting  what a pity cause i love it
relief,bOff for a loooong weekend of inlawing   
worry,b oh and yes Y metros but I dont think I will be drinking I think I mite have work the nextday
worry,bquotNo offense but your hair is bad todayquot Life isnt worth living anymore   Nothing hurts quite like hair insults cries into pillow
worry,b wont anyone give poor ernie reyes jr a break
surprise,b Well thats disappointing to hear
sadness,bChecking out Ciege Cagalawans SS Collection and I am regretting that I did not see his collection tonight  I got invites
worry,bneeds my mommy  
hate,bIm sure the  ppl who came in after me will be seen by a dentist before I will
neutral,b I second this 
sadness,bI didnt get the job at Stuff Magazine  Dammit that would have been amazing Oh well
fun,b Celebrity sighting Spongebobs here BEA   LOL Now Im even more distraught I missed it
neutral,bis wondering what actually to do when I have a week to do fuk all bar pack most peeps r leavin too
surprise,b Definitely grass cutting   Cole has committed himself to stacking wood for our neighbor as well Past  days set is back too far
worry,b  Not goodHe wouldnt like his girl flirting with his colleagueswould he
worry,bis upset I left my phone at home again
worry,bDimples was in the preview are they not on today  It hasnt aired here yet via 
hate,b Gain an instant follower just use the tits tag in a tweet WTF Lesson learned Summer of Todd to get a new official tag
sadness,b ask mark if he still has that old blink sense of humor i miss it
worry,bPIRATE VOICEAAARRRGGGHHH I GOT MY DAMN WALLET AT WORK SHERMK DAMMIT SO CLOSE YET SO FAR NOW IM STARVING
sadness,bgoing out on thursdays is a terrible idea i knew there was a reason i havent done it all quarter pops advil
worry,b Hope you mom is okay
worry,b it is  tequila never ends up being a good decision
surprise,b I moved in with the other half so no balcony anymore  Have got a great miniherb garden on window sill though you
neutral,b can i have itL
sadness,bis exhausted
neutral,bMorning all  And since I only have a few more days to move I wont be able to stay long
worry,b I think that may look a little silly  Also my camera is broken so no photo
love,b   i liked old ruby best
anger,bConfuzzled
surprise,b Unfortunately thats how it usually goes  In answer to yesterdayIm okay Things may be looking up Miss talking to you
worry,b because I couldnt get the money to mikey in time  trust me It makes me sad too
surprise,breally cant be bothered going to work tonigh its too nice to be stuck inside
fun,b I will watch that at some point Have it on hd but Stace also wants to see it in hd so waiting
neutral,bat work  closing files
neutral,b heeeeey You abandoned me here on Twitter momma dots
worry,bdoesntfeelwell
worry,bSitting at my kids school listening to moms discuss their daughters becoming women I feel unsafe
surprise,b I have to spend lots of  our money on a new boilergreat Not so lucky hey
worry,bSweat is just not cute  Unfortunately I havent figured out how to work out without sweating BOO
worry,bIm starting to rethink my quotI cant stand cold placesquot stancethis heat humidity is unbearable amp i cant stand the ac no more  meltingaway
neutral,bi am up  dont want to be though  wish i had slept in more heather woke me up ive got to work later but first i will read some twilight
worry,bBack to work
sadness,b i have to wok a nite shift tonite so will miss it  please DM me i promise i wont tell anyone else  
worry,b Ive tried that already
sadness,b  hrs to go pa ako
neutral,bSomething is totally eating up my broc cab and beans   Insecticidal soap just isnt getting rid of the pests but I dont want chemicals
hate,bStuck in an office red hot
sadness,bField day is sad No ribbons for me
worry,bbeing upset
worry,b  Hope you dont get let down again
happiness,b AWWWWWWW you totally rockI felt all  and now Im the happiest girl eva
neutral,bMy baby is going to her first sleepover tonight   Im gonna need a lot of wine to get me through today
worry,b yeah ill be on verizon so those are my two options right now
worry,bFound out I have to go to the US again in August Getting tired of transatlantic flights Not good for my carbon footprint either
sadness,b i kno i cant deal this  life is not for me
sadness,b its depressing
worry,bGonna go get my teeth taken out
neutral,b mean
relief,bwaiting for pm to go for a drink with ones out of work because Belinda leaving today  at least the sun is shining for her
worry,b didnt get them
worry,bI am tres depressed
surprise,b Thats actually not too far from the truth
sadness,bHave  Malware on my work PC  I miss having an IT dept
surprise,b im not partying tonight
worry,b so I can only recover  photos
worry,bI cant find   hope he didnt get eaten by anything last nighthe jumped off the deck   he just wont stay in safe sigh
surprise,b holy crap I need to see that Too bad I gotta wait until tomorrow
neutral,bwork work work my desk is a sea of papers and I am the dinghy being tossed about in its waves
neutral,b How was the game Unfortunately teh Cavs lost  Im sure you had fun though
sadness,bAt work What a miserable day
sadness,bI feel like such a failure this morning
worry,bYay for having a giant headache  stupid glasses
worry,bwaking now so lazy and very worry 
worry,bWhats with the mass exodus from work at half three  It makes me sad
worry,bEnjoyed last night at what I call quotreal world social networkingquot   LOK event in Vancouver  It was great  But headeache today
worry,b oh sorry not getting all my replies  nothing against you and yes i do know nirvana
worry,b just checked my account I also paid twice
neutral,bwill sleep in a while still mourning the adobo he cooked  
hate,bReally  degrees as the high and Im on my way to work  hagg lake tomorrow is going to be especially bomb sauce
worry,bi think  of the irish population of manchester have come to my house today yet none of them are the  person i want to see
sadness,bFinally finished exams amp home not watch Otalia amp the PBP on BPD  no Otalia today  hmm via 
worry,bMy Street Fighter IV skills are lacking cant beat Seth on easy
worry,bis at home with a pukey boy Poor little baby
happiness,bI did that once
happiness,bOn the list of park closures  Calaveras Big Trees SP where Im headed this weekend So glad to be visiting before its too late
worry,b poor pooch
sadness,bI think i need some new friends
worry,bPoor DS is in bed with  fever  he wont be able to walk in Relay for Life tonight  feel so bad for him hes so sad
sadness,bFinishiing up the Training Exercise in New mexico  Not looking forward to the  hour bus ride home this weekend
worry,b I get bit by ticks all the time  I eat a ton of garlic in the summer to keep them and mosquitoes away boo gtO
worry,bIve burnt my collerbone and arms and face aww
love,b she was wonderful did not get to meet her though
worry,b Poor Jon I feel for you dude   Eat some chocolate thatll make you feel better oh amp some ice cream  YUM
neutral,bwants to be sunbathin
hate,b  My poor car
sadness,b still sad about Samantha Who
neutral,b ooh Ive got that DVD never got around to watching it   Is it any good
happiness,bSold bikes faster than expected and we are running out of sizes    Luckily the single speeds are on the ocean now ETA   EO June
neutral,b Yeah but theres nothing really to say about it Breakfast pizza
sadness,ba bird flew into window at my parents house and snapped his poor neck gotta bury him
neutral,btoday is a busy day exhausting
surprise,bgutted  the handbag I wanted has been sold
relief,bWe need to remodel the house and the thoughts of doing it make me kind of ill   He has one way and I have anouther I just want to move 
neutral,b Alas no  this is all occuring in an office in central London
surprise,b WOMAN I didnt know you came home  you so suck When are you going back
worry,b I worked on the precursor to bing at msft They canned our project
neutral,bTati I sent you an emal doll did you get it    
sadness,blooking out window is depressing it is so beautiful out and I am in here
neutral,b  I did that once
worry,bworst most depressing day ever  rip
neutral,b wats wrong boo
worry,b That sucks
sadness,b Aww I thought you forgot me last night I was  I hardly have my twitter on my phone so just text me in the evenings ok
worry,b Well thats even worse cuz when it gets hurt everyone is in pain but poor Stephen has a smushed twitter now
enthusiasm,bNeed to buy a bluetooth device for machine
worry,btrying to learn how to speak french   cant even remember a single word
enthusiasm,bThe JBs love to keep secrets  Oooooh
happiness,bJust took daughter to school Still tired and still no voice I know some people are happy LOL Time to get ready for work
neutral,bUgh going to town I can never rest  wants to go to tylers but who knows when i will get back exausted
happiness,bIve got a bit of neckache after going hard not going home at Alternative night I mean I have to its nearly all over
neutral,bIts a windy and rainy day
neutral,bthe puppy shall loose his um manly parts today  poor guy
neutral,b He steals my stuff buries them under fence Embarassing when its the man returning them Not much I can do about frogs
happiness,bgreeeeeeeeeeeat  this summer i have four classesif you know meu know why
love,b Wow I really hope it gets better Asthma sucks
fun,b lmao a good push up bra always makes the abs look smaller in order to have Robbikinesque abs  days a week working out
worry,bTODAY FRIDAY I really hope you will read my messages here and reply to me soon I could not reach you by phone before you go to work
surprise,bWoke up to the sound of my neighbor getting a new roof
neutral,b I may be in the US for it in which case Ill attend but if its off my own back I cant afford to go
love,bIm going to blow ticketmaster up I had th row tickets for  and ticketmaster messed up Just like my life  im sad
hate,b I have my  class  fuckin school what time you work wed if jade comes ima have to get her in antioch at amtrak
worry,b Chile I gotta study   But I do hope to catch an art show or sumshini need to get out
worry,b Gloomy as ever I wanted to hit the beach too  might as well get like you and handle my errands too lol
worry,bFML i cant loose another friend
sadness,bSry but other day tweets were MIA  twitter network glitch but story was re funeral mixup as in wrong remains delivered to ea
hate,b rubbish
neutral,b um hi Good morning Rough night
sadness,bmight have to go back much earlier than expected bye bye bay area
sadness,bCovering for  its slow today amp lonely
sadness,b not in Hobart sorry
sadness,b most definately They are having a hard time cuz Im so young amp never saw this but I wrkd hard making cars amp now Im disabled
worry,b i think theres something wrong with the video it only loads the first ish seconds
love,b    the hills is gunna be so different gl with your designing etc
worry,b careful the cops dont mistake you and your kids for criminals  i hear there is some indiscrimate shooting going on
worry,b they tried to take me  jail sissy  apparently i have a warrant in agg town yeah shocked the hell outta me lmao yeah right
worry,bHappy Friday I just realized I left my cell phone at home today though
happiness,b im happy you got your hair did and i cant wait til i get back to see it were leaving today
neutral,bI really fancy Baked Eggs but I have no Spinach
happiness,b hahaha well why would you smack ME for that  hahaha THE BIG BANGGG
sadness,bNone of the people I talk to in my PE class are here  Im going to be so bored all period
neutral,bWHAHHH NOO
sadness,b Totally unsurprised that Dave isnt coming back to  But Annalisa is wrong for it opposite of big warm mellow Dave
fun,b ready for the weekend I hope the sun comes out later today tho  Where u from
neutral,b me tooo
worry,b Wish Id had the balls but with my  kids with me and not knowing how illogical these ppl can be didnt want to risk it
worry,b haha I know And then I need a new car too Oh ps I got a speeding ticket
sadness,bwhy doesnt he want me anymore
surprise,b You arent following me so i cant send you a DM
sadness,bIf Hamilton gets a hockey team I really think the name Hamilton should be in the team name If not Ill be sad
anger,bThe toaster oven was my fault Now Im going to look like an idiot in front of my father
sadness,bbinstruct suffers from an update of the mib package and the developer of that package is on holidays
sadness,b my heart hurts for them Imagine how shit their skin will be when theyre twenty from all the stuff they smeer on it shame
neutral,b it involves posting your thoughts and reading others mrbean You got a new number btw had no txts back from you
love,b nnnaaa uhhhh playah shawty aint got nun maybe it was ur phone or mines  but I wanted to hit me up when u left the studio
neutral,bwill not be home til  pm tonight
worry,b  Enjoywish I was there Nice day in Springfield todayhowever I have my end of month expense report to do
worry,bim really tired today
worry,b Oh no    Ill think good thoughts
worry,bnot enjoying this cold raininy Boston day  I think my new metal back doesnt like getting wet 
worry,bFinding it hard to stay productive now the sun is coming through my side of the building
sadness,bI think my computer is sick
worry,bI tell him today S its his last day
love,b Were on the way home from a night in London Was lovely Now working all weekend and Monday  when the weathers nice x
worry,b who what  call me
worry,bworking from home and ran out of coffee
sadness,b Shame about your job  have you thought about working for yourself  theres big money to be paid 
neutral,b Its not much better than instant
sadness,b Im not feeling very inspired todayI was suppose to be  the Bham concert tonight
worry,b I hope your mom is ok
sadness,b welcome back Im stuck in jury duty today
neutral,bDa sin sol grrrrrrr why WHYYY
love,b you got some sexy pics girl  Love the eyebrow piercing  I used to have a ton of piercings now I only have my ears  lol
worry,bsuch a failure i just ate a char siew pao  just when i thought i can skip dinner and go along my nonexistent diet
sadness,bThis weather is awful I just want to curl up and read a book all day
neutral,b YAY Thanks for the followfriday FAILFriday is still winning though
sadness,b Sad to seedespite my being glib about it
enthusiasm,b I saw the show listing and saw it was on a Wednesday
surprise,b Whoa man now THAT was a great one I went to Heaven for  seconds U know why lah but pls shhh LOL So sorry u werent there
fun,b who is  homieLILI and i am black   to be exact lol
worry,b NAT Im going to miss you so badly
worry,b Oh how cool ok so for your head just laydown and put ice on it that should heep the swelling down I feel really bad
hate,bSome idiot just crashed into me on his bike  Now my bike has a small dent in it and I have to buy a new set of pedals
neutral,b argtried one pic but she moved so i failed to save itthen they never showed her feet again  but they were purty
worry,bFeeling very undervalued and neglected Not even the sunshine is pulling me out this lul
neutral,b I am lost Please help me find a good home
sadness,b and this is better  me than a snickers bar or hersheys walmonds which i use to b addicted to b i miss them  LOL
worry,bHi there all Cant stay to long have to go to work soon
worry,bmy Chrissy is sick w a spring cold   Tissues stuck up his nose last night looked so pathetic  Feel better soon baby
neutral,bNo u guys  said California in an angry tweet to perez hilton Jonathan was so upset he spelled California wrong
hate,bLocked out of my fucking house
neutral,b lol hehehe ok well hope u njoy your night tonight ok need to give Jim hand with shopiing
worry,bis going to our cabin soon
worry,bThe iPod is gonna die and gymnastics isnt over  boo
sadness,b That sucks about your prints Sorry
love,bi ditched school  i hate it  and im taking a huge dump    it hurts REAL BAD
neutral,b  KIISFM hey I cant seems to get ryans show online whats not right then
sadness,bhas the day open until  dont know what to do everyone is leaving today
sadness,bWatching Scrubs season  Oh Im gonna miss that show
neutral,bSo I passed out last night in the middle of th quarter I didnt witness my Magic lose
worry,b I hope he does it soon and i know i hate fakes
love,bJust had my teeth checked now my eyes Im dying for a coffee but cant drink for an hour
sadness,bNot a happy bunny
sadness,b   still no shout out for Spider
surprise,b i found a few a couple of weeks ago    i spazzed and then pulled them all out so life is back to normal lol
hate,bTrying to recover photos after a problem between Windows and my XD card Result shots are all half visible  damn Microsoft
worry,bslaving away at work
sadness,bIts time for me to pack up at work now and have not had much time for twitter  Thank you for any follow fridays Be back later
worry,b and that prob wont happen
neutral,b shes in LA wanting sun today but apparently LA isnt cooperating
worry,bon my way to work working sucks big time
sadness,b I have no Minstrels   I might have to grab some from the petrol station before I head back to work  They are delicious
neutral,b  Ready for our D Jonas Brothers Experience Real Brothers not included
neutral,b mmm  Where is it Holly
sadness,bHope ur all havin a nice Friday Been feeling down this past week since my dogs passing
sadness,bsigh my  USB died on my this afternoon RIP you will be missed I hadnt even had the chance to parade you around yet
sadness,bAnyone ever had that heavy feeling of sadness in their hearts Thats my case rite now
worry,bis just waking up not very impressed with my sleep or my dreams today is going to be a sucky day I can feel it
worry,bSo i sprained my ankle yesterday and it hurts worse today
worry,b  cant get the live chat
sadness,bLmao i come on mad replies im like damn im missed  Damn follow friday lmao so im still not important or missed
neutral,bWell that exam rockedone more to go  the one weve all been dreading Bit of revision tonight before work tomorrow
worry,b  oh wellyou dunno where i liv eANYWAY
love,bGot approximately  hours of sleep last nightI love my life
worry,b  and now I wish I hadnt
worry,b  howno phone
neutral,bI feel like Im not gonna make it this year
neutral,bWow a driveby done by rappers mad they were kicked out of Spiros 
hate,bi hate history coursework sooo much
worry,bFriday is the new Thursday
worry,b i wish i  would in californiai m so sad
sadness,bMy modem has been offline for a week now God bless the g network Tim just left Again May schedule has been brutal
love,bWatching French Open tennis  sad to see Venus make an early exit this morning
sadness,bWants to go sit in a park but should really be painting the bathroom
sadness,bgoing to funeral today for friend and classmate who died in a car wreck last Friday
sadness,bwhenever it rains its so hard to get motivated
neutral,bAnyone know a good PNG compression tool for OS X Tried PNGCrush but it just doesnt run
worry,bis sad she got her plans cancled
hate,bjust got a haircut NOT happy
happiness,b Boo  well its good fun tho sucks if u cant get cards I finished th in last nights tpt I took  out LOL
neutral,bIs there a cvs equivalent to quotgit statusquot
worry,bis SO frustrated Im stuck at home without any transportation to the global god conference Ahh
relief,bTGIF this quotshortquot week has been wayyyyyy too long
neutral,b We went not so long ago I used to go when I was a little kid Back then there were TONS of teeth Now not so many at all
sadness,bI wish yesterday was Friday
happiness,b Kayyy XD Yeah everyone always talks about the part where the dog dies  I need to find a movie that you havent seen now XD
love,binside on a beautiful day
worry,bWorried about friend
worry,bWoke up early Still sick
relief,bis HOT Just done some late spring cleaning About to settle down with a book i can barely read left my glasses at my mums
relief,bChirstina said shes gunna twitter more no more partners
neutral,b Ohh of course She did stop once though end of Dream John Woodvine amp Zoe Thorne only ones not signed my programme
sadness,bO Looking through my old stuff and found a record from my old band Wella band that I was in for about a month Ever heard of  
sadness,bgoing to eat with my aunt soooon not getting ready just changing   i hope today is a goood day  idk i miissss himm
worry,b Your mail server just rejected a simple plain reply to you as potential spamvirus threat Not Good
happiness,bBroke my carafe  went to Starbucks for my caffiene fix and the lights go outjust for a sec but are you kidding megot to laugh Ha
neutral,bMe  court 
worry,bOk this is a lot more boring then I thought  and matt has me on lockdown bc of moolah
worry,bScience History And maths its so nice outside
worry,bits a and im already dressed  but were on set today so let the real fun begin lights camera action
neutral,b yeah back to work  I get out at  so its not that bad
neutral,b Oooo look who got a pic  So much for swimming today
neutral,b This is late but I was actually in the spelling bee back in the day I got eliminated in state finals though
worry,biProcrastinate This is by far my  character flaw Gotta session at  and I dont want to emerge from my covers
neutral,bNote to self never ever leave the MacBook Pro on the stupid iCurve It fell off
worry,bI wish I was in dallas with the kiddnation family
happiness,b Its too nice to be inside
happiness,b wow How cool is that or was I guess I have  now  haha get another follower
sadness,b aw
sadness,bThe CD  player in my car is broken  So much for listening to my Kidz Bop Happy Meal CD
neutral,bgonna be in bed soon as Fridays over soon   would like to plug in
neutral,bgoing drinking tonight drinking away the blues
fun,bGood Morning Its Friday and the start of my work week  But Lakers are going to take the th W tonight Woohoo GO LAKERS
neutral,bbrowsing nd watching barca win da champs league
neutral,bThat damn money sign Ugh
sadness,bbored well its not like any one can see this i havent got any friends
happiness,bVacation over  Looking forward to the next one
sadness,b Note to self never ever leave the MacBook Pro on the stupid iCurve It fell off
sadness,bfeels not good at all
sadness,bLast day for seniors bye bff
happiness,bOff to work My last day Get to walk around and outprocess I am very happy to be one step closer to what I really want to do but  
surprise,b tsk baddie imissmonkeh today
worry,bGoing To the dentist
worry,bIm scared to set the pw on my BB bc I might forget it amp end up losing all my data But yet I have financial info on it Catch 
neutral,b Im ready homieactually ima be working
worry,b mady were did u go  truck did u run away
fun,bjust spent all day putting up a trampoline but is now too tired to use it  it is very cool though
surprise,bjake thomas looks so precious  i hate when they say quotthere it is i see the white lightquot in every ghost whisperer show
happiness,b Glad to hear the weathers nice  Its rained just about every day for the last five days  Not fun for exploring
sadness,b i would share mine but i have no hair
happiness,b I only saw urs by chance Who else would have that name Think Ill b missing nite too  Thank god for YouTube
sadness,bWM No clever headline Sorry  Salt Lake City yr 
worry,b HAHAHAHAHAH I thought I was following you alreadyI dont know what happened sorry ha
worry,b quotSomething must be wrong Only found  July HarlSil books I wanted
worry,b Jz local movie here The titles virgin  p actually i feel not so good So tired n dizzy
worry,bsitting thinking how warm it is and wishing it wasnt so Has so many things to sort out its driving me bonkers
neutral,b  you may have to email the tech support ppl thats odd
sadness,bHappy Sammy is going  here morrow But unfortunatly Im not gone be able  go  the club he performing 
worry,bi hate my life big time its sooo poop gode i ould cry
hate,bTweetiful people I am sick
sadness,bjust woke up its lauras last full day here  Last night we watched embarrassing home movies
enthusiasm,b Umno  We will most likely be inside a lot maybe the skirt will work
worry,bCharley horses in both legs all night What the fuck
sadness,bHeading to the gym  The group of guys that USED to go with me has all quitwell except for Brandon   Makes me terribly sad
worry,bsinus congestion is making thinking straight difficult
